hhid,personid1,personid2,personid3,personid4,price,nkids,jbstathoh,us,ustot,usa,usb,usc,usd,use,usg,ush,usi,usj
1437,9775759,NA,NA,NA,93000,1,retired,no,not applicable,no,no,no,no,no,no,no,no,no
197,5714900,NA,NA,NA,285000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2202,797565,NA,NA,NA,249950,1,retired,yes,<£200,no,no,yes,no,no,no,no,no,no
2483,9509942,NA,NA,NA,330000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3549,2328172,NA,NA,NA,72500,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1669,2637148,NA,NA,NA,133089,0,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
778,6060154,921697,NA,NA,110000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
1575,6267833,NA,NA,NA,250000,0,in paid employ,yes,£200-499,no,no,yes,no,no,no,no,no,no
1086,6747917,NA,NA,NA,92000,2,self employed,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3444,6489675,NA,NA,NA,62500,1,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
380,7754031,NA,NA,NA,142000,0,FT student,yes,"£3,500-3,999",no,no,no,no,no,no,yes,yes,no
4425,6289060,NA,NA,NA,450000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
3694,4227467,NA,NA,NA,405000,2,in paid employ,yes,">£30,000",no,no,no,no,no,no,yes,no,no
389,4576105,6717721,9133178,NA,117500,1,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4154,7564043,NA,NA,NA,207000,2,in paid employ,yes,£200-499,no,no,yes,no,no,no,yes,no,no
3128,5905917,NA,NA,NA,71000,1,in paid employ,yes,<£200,no,no,no,yes,no,yes,no,no,no
3014,5740289,8976599,NA,NA,139162,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
2652,5124950,NA,NA,NA,194198,2,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
200,2091002,NA,NA,NA,162000,3,in paid employ,yes,"£10,000-14,499",yes,yes,yes,yes,no,no,no,no,no
392,2619134,4462917,NA,NA,138000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
930,1970247,NA,NA,NA,68646,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
